"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"1463","0.567","0.0","0.567","0.0","50.34830815","0.0","0","0.0","interacts with","Cd274 (interacts with) Hmox1","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000005548","0","false","interacts with","Cd274 (interacts with) Hmox1"
"1462","0.284","0.398","0.551","0.0","54.73810811","0.0","0","0.0","interacts with","Cd274 (interacts with) Il1b","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000028881","0","false","interacts with","Cd274 (interacts with) Il1b"
"1202","0.0","0.0","0.9","0.9","10.94459584","0.0","0","0.0","interacts with","Gsdmd (interacts with) Neu1","0","10090.ENSMUSP00000023238","10090.ENSMUSP00000007253","0","false","interacts with","Gsdmd (interacts with) Neu1"
"1201","0.0","0.07","0.903","0.9","83.96994579","0.0","0","0.0","interacts with","Gsdmd (interacts with) Mmp9","0","10090.ENSMUSP00000023238","10090.ENSMUSP00000017881","0","false","interacts with","Gsdmd (interacts with) Mmp9"
"1461","0.554","0.0","0.554","0.0","258.0","0.0","0","0.0","interacts with","Cd274 (interacts with) Vsir","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000020301","0","false","interacts with","Cd274 (interacts with) Vsir"
"1200","0.0","0.0","0.9","0.9","4.48571429","0.0","0","0.0","interacts with","Gsdmd (interacts with) Hbb-bs","0","10090.ENSMUSP00000023238","10090.ENSMUSP00000023934","0","false","interacts with","Gsdmd (interacts with) Hbb-bs"
"1460","0.561","0.053","0.567","0.0","16.23447372","0.0","0","0.0","interacts with","Cd274 (interacts with) Serpinb9g","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000080597","0","false","interacts with","Cd274 (interacts with) Serpinb9g"
"1199","0.0","0.0","0.9","0.9","10.94459584","0.0","0","0.0","interacts with","Gsdmd (interacts with) Pdxk","0","10090.ENSMUSP00000023238","10090.ENSMUSP00000038540","0","false","interacts with","Gsdmd (interacts with) Pdxk"
"1459","0.561","0.062","0.571","0.0","117.21338602","0.0","0","0.0","interacts with","Cd274 (interacts with) Serpinb6b","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000105922","0","false","interacts with","Cd274 (interacts with) Serpinb6b"
"1198","0.0","0.079","0.903","0.9","2.0","0.0","0","0.0","interacts with","Gsdmd (interacts with) Lrg1","0","10090.ENSMUSP00000023238","10090.ENSMUSP00000038048","0","false","interacts with","Gsdmd (interacts with) Lrg1"
"1197","0.0","0.1","0.906","0.9","7.37719298","0.0","0","0.0","interacts with","Gsdmd (interacts with) Hp","0","10090.ENSMUSP00000023238","10090.ENSMUSP00000074436","0","false","interacts with","Gsdmd (interacts with) Hp"
"1196","0.123","0.134","0.917","0.9","35.72697198","0.0","0","0.0","interacts with","Gsdmd (interacts with) Lyz2","0","10090.ENSMUSP00000023238","10090.ENSMUSP00000089801","0","false","interacts with","Gsdmd (interacts with) Lyz2"
"1456","0.582","0.058","0.589","0.0","29.32673667","0.0","0","0.0","interacts with","Cd274 (interacts with) Ly6c2","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000140825","0","false","interacts with","Cd274 (interacts with) Ly6c2"
"1454","0.575","0.111","0.606","0.0","15.01535833","0.0","0","0.0","interacts with","Cd274 (interacts with) Serpinb9","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000099002","0","false","interacts with","Cd274 (interacts with) Serpinb9"
"1453","0.521","0.273","0.636","0.0","45.30627663","0.0","0","0.0","interacts with","Cd274 (interacts with) Tlr2","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000029623","0","false","interacts with","Cd274 (interacts with) Tlr2"
"1451","0.629","0.087","0.646","0.0","38.00597743","0.0","0","0.0","interacts with","Cd274 (interacts with) Sell","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000027871","0","false","interacts with","Cd274 (interacts with) Sell"
"726","0.625","0.052","0.629","0.0","258.0","0.0","0","0.0","interacts with","Rufy4 (interacts with) Tmbim1","0","10090.ENSMUSP00000115873","10090.ENSMUSP00000016309","0","false","interacts with","Rufy4 (interacts with) Tmbim1"
"1449","0.672","0.256","0.746","0.0","17.70550502","0.0","0","0.0","interacts with","Cd274 (interacts with) Il15","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000034148","0","false","interacts with","Cd274 (interacts with) Il15"
"1447","0.697","0.218","0.759","0.0","127.72878114","0.062","0","0.0","interacts with","Cd274 (interacts with) Ptprc","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000138350","0","false","interacts with","Cd274 (interacts with) Ptprc"
"1446","0.611","0.619","0.845","0.0","36.25756691","0.0","0","0.0","interacts with","Cd274 (interacts with) Cxcl10","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000047646","0","false","interacts with","Cd274 (interacts with) Cxcl10"
"2443","0.53","0.099","0.558","0.0","135.6132552","0.0","0","0.0","interacts with","Cd33 (interacts with) Cd68","0","10090.ENSMUSP00000004728","10090.ENSMUSP00000104294","0","false","interacts with","Cd33 (interacts with) Cd68"
"2442","0.586","0.081","0.603","0.0","258.0","0.0","0","0.0","interacts with","Cd33 (interacts with) Ms4a4a","0","10090.ENSMUSP00000004728","10090.ENSMUSP00000140768","0","false","interacts with","Cd33 (interacts with) Ms4a4a"
"723","0.521","0.362","0.681","0.0","258.0","0.0","0","0.0","interacts with","Samsn1 (interacts with) Themis2","0","10090.ENSMUSP00000109877","10090.ENSMUSP00000036945","0","false","interacts with","Samsn1 (interacts with) Themis2"
"2441","0.288","0.122","0.615","0.0","90.4173275","0.433","0","0.0","interacts with","Cd33 (interacts with) Tlr2","0","10090.ENSMUSP00000004728","10090.ENSMUSP00000029623","0","false","interacts with","Cd33 (interacts with) Tlr2"
"2440","0.752","0.13","0.775","0.0","177.53837991","0.0","0","0.0","interacts with","Cd33 (interacts with) Ptprc","0","10090.ENSMUSP00000004728","10090.ENSMUSP00000138350","0","false","interacts with","Cd33 (interacts with) Ptprc"
"2796","0.261","0.06","0.931","0.9","39.87951649","0.128","0","0.0","interacts with","Cd47 (interacts with) Itgb2","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000000299","0","false","interacts with","Cd47 (interacts with) Itgb2"
"2795","0.0","0.0","0.9","0.9","43.94509212","0.0","0","0.0","interacts with","Cd47 (interacts with) Psg19","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000004657","0","false","interacts with","Cd47 (interacts with) Psg19"
"811","0.0","0.606","0.606","0.0","16.04426407","0.0","0","0.0","interacts with","Sash3 (interacts with) Selplg","0","10090.ENSMUSP00000033427","10090.ENSMUSP00000098436","0","false","interacts with","Sash3 (interacts with) Selplg"
"2794","0.047","0.0","0.9","0.9","6.85238095","0.0","0","0.0","interacts with","Cd47 (interacts with) Mcemp1","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000014118","0","false","interacts with","Cd47 (interacts with) Mcemp1"
"810","0.419","0.419","0.648","0.0","22.40815296","0.0","0","0.0","interacts with","Sash3 (interacts with) Themis2","0","10090.ENSMUSP00000033427","10090.ENSMUSP00000036945","0","false","interacts with","Sash3 (interacts with) Themis2"
