"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"143619","81.33349516","interacts with","ENSMUSG00000015839 (interacts with) ENSMUSG00000079508","false","interacts with","ENSMUSG00000015839 (interacts with) ENSMUSG00000079508","0.0204613174602231"
"143625","53.14694864","interacts with","ENSMUSG00000031162 (interacts with) ENSMUSG00000026509","false","interacts with","ENSMUSG00000031162 (interacts with) ENSMUSG00000026509","0.0204569297410443"
"151815","85.67680277","interacts with","ENSMUSG00000055320 (interacts with) ENSMUSG00000033685","false","interacts with","ENSMUSG00000055320 (interacts with) ENSMUSG00000033685","0.0154626103881858"
"143630","26.1368292","interacts with","ENSMUSG00000074607 (interacts with) ENSMUSG00000001175","false","interacts with","ENSMUSG00000074607 (interacts with) ENSMUSG00000001175","0.0204495079736773"
"151820","115.35275086","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000012076","false","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000012076","0.0154609876275847"
"143628","51.23280655","interacts with","ENSMUSG00000042507 (interacts with) ENSMUSG00000004626","false","interacts with","ENSMUSG00000042507 (interacts with) ENSMUSG00000004626","0.0204516876972867"
"151823","85.72905921","interacts with","ENSMUSG00000029478 (interacts with) ENSMUSG00000036106","false","interacts with","ENSMUSG00000029478 (interacts with) ENSMUSG00000036106","0.0154596434610279"
"151829","36.14011576","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000090958","false","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000090958","0.0154551338724866"
"151828","46.57504884","interacts with","ENSMUSG00000002249 (interacts with) ENSMUSG00000055298","false","interacts with","ENSMUSG00000002249 (interacts with) ENSMUSG00000055298","0.0154568837142131"
"151833","78.60136405","interacts with","ENSMUSG00000091337 (interacts with) ENSMUSG00000027082","false","interacts with","ENSMUSG00000091337 (interacts with) ENSMUSG00000027082","0.0154538529312324"
"143642","26.72403389","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000024535","false","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000024535","0.0204385508826457"
"143640","46.19230442","interacts with","ENSMUSG00000029478 (interacts with) ENSMUSG00000062380","false","interacts with","ENSMUSG00000029478 (interacts with) ENSMUSG00000062380","0.0204401347940196"
"151837","72.63339528","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000038400","false","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000038400","0.0154533036392325"
"143650","64.02214708","interacts with","ENSMUSG00000021709 (interacts with) ENSMUSG00000028636","false","interacts with","ENSMUSG00000021709 (interacts with) ENSMUSG00000028636","0.0204297600031083"
"143647","17.20106099","interacts with","ENSMUSG00000056501 (interacts with) ENSMUSG00000049916","false","interacts with","ENSMUSG00000056501 (interacts with) ENSMUSG00000049916","0.0204338110155759"
"143657","40.66470803","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000031133","false","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000031133","0.020425929434411"
"143655","47.13791759","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000020393","false","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000020393","0.0204270975218267"
"143656","38.64782701","interacts with","ENSMUSG00000001472 (interacts with) ENSMUSG00000021224","false","interacts with","ENSMUSG00000001472 (interacts with) ENSMUSG00000021224","0.0204264586252872"
"151853","45.66496417","interacts with","ENSMUSG00000055817 (interacts with) ENSMUSG00000005625","false","interacts with","ENSMUSG00000055817 (interacts with) ENSMUSG00000005625","0.0154449504375817"
