"SUID","__glayCluster","name","selected","shared name"
"3573","4","Enpp2","false","Enpp2"
"4666","4","Uros","false","Uros"
"4667","4","Urod","false","Urod"
"4668","4","Fech","false","Fech"
"3328","25","Pdk2","false","Pdk2"
"3958","1","Ripk3","false","Ripk3"
"4669","4","Tmem14c","false","Tmem14c"
"3574","17","Trip6","false","Trip6"
"4670","4","Slc25a39","false","Slc25a39"
"4671","4","Abcb10","false","Abcb10"
"3959","2","Camkk2","false","Camkk2"
"3575","6","Emp2","false","Emp2"
"3960","6","Kcnn4","false","Kcnn4"
"4672","10","Oxct1","false","Oxct1"
"3961","5","Plcb4","false","Plcb4"
"4673","4","Lss","false","Lss"
"3962","6","Dapk3","false","Dapk3"
"4674","10","Acadm","false","Acadm"
"3576","5","Emid1","false","Emid1"
"4675","10","Hmgcl","false","Hmgcl"
"3963","6","Ppp1r3f","false","Ppp1r3f"
"4676","10","Hadh","false","Hadh"
"3577","1","Eme2","false","Eme2"
"4677","4","Sqle","false","Sqle"
"3114","4","Slc26a7","false","Slc26a7"
"4678","4","Unc119","false","Unc119"
"3964","6","Dapk2","false","Dapk2"
"4679","4","Aacs","false","Aacs"
"3329","5","Sik1","false","Sik1"
"3578","3","Emc9","false","Emc9"
"3579","3","Ngly1","false","Ngly1"
"3580","3","Emc8","false","Emc8"
"3581","3","Myct1","false","Myct1"
"3965","5","Cav2","false","Cav2"
"3115","18","Slc25a25","false","Slc25a25"
"3330","5","Serpinb9b","false","Serpinb9b"
"3582","3","Eltd1","false","Eltd1"
"3116","6","Tmem56","false","Tmem56"
"3966","6","Gpr182","false","Gpr182"
"3117","6","Slc25a21","false","Slc25a21"
"3583","4","Fads3","false","Fads3"
"3584","4","Fam241a","false","Fam241a"
"3967","2","Esx1","false","Esx1"
"3118","15","Slc22a3","false","Slc22a3"
"3585","4","Tm6sf1","false","Tm6sf1"
"3119","13","Slc6a12","false","Slc6a12"
"3968","4","Cryl1","false","Cryl1"
"3969","2","Calcoco2","false","Calcoco2"
"3120","13","Slc7a2","false","Slc7a2"
"3586","4","Elovl6","false","Elovl6"
"3587","8","Ints6","false","Ints6"
"3331","6","Pigh","false","Pigh"
"3970","2","Calcoco1","false","Calcoco1"
"3971","1","Dlg3","false","Dlg3"
"3588","8","Nabp1","false","Nabp1"
"3121","13","Slc19a2","false","Slc19a2"
"3122","12","Ttc3","false","Ttc3"
"3589","8","Hexim1","false","Hexim1"
"3972","1","Ppp2r2c","false","Ppp2r2c"
"3123","12","Slc18a1","false","Slc18a1"
"3973","1","Rasgrp1","false","Rasgrp1"
"3124","20","Slc5a6","false","Slc5a6"
"3974","1","Rasgrp3","false","Rasgrp3"
"3592","2","Eid2","false","Eid2"
"3975","1","Rasgrp2","false","Rasgrp2"
"3593","2","Eid1","false","Eid1"
"3125","9","Slco4a1","false","Slco4a1"
"3976","1","Ppp2r3a","false","Ppp2r3a"
"3126","9","Slco3a1","false","Slco3a1"
"3127","26","Slc13a4","false","Slc13a4"
"3594","2","Rab11fip1","false","Rab11fip1"
"3977","22","Tmem125","false","Tmem125"
"3978","22","Kank4","false","Kank4"
"3595","1","Fadd","false","Fadd"
"3128","4","Slc4a2","false","Slc4a2"
"3979","22","Cachd1","false","Cachd1"
"3980","13","Slc25a51","false","Slc25a51"
"3981","13","Tmem59","false","Tmem59"
"3129","4","Slc39a8","false","Slc39a8"
"3982","2","Sesn1","false","Sesn1"
"3983","2","Btg2","false","Btg2"
"3984","4","Fam124a","false","Fam124a"
"3985","4","Btbd9","false","Btbd9"
"3130","12","Smarca1","false","Smarca1"
"3988","1","Tspan9","false","Tspan9"
"3989","5","Stab2","false","Stab2"
