"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"23627","13.91696821","interacts with","Npm1 (interacts with) Rps6ka1","ENSMUSG00000057113","false","interacts with","Npm1 (interacts with) Rps6ka1","0.0292828577667193"
"23628","13.77297823","interacts with","Smad2 (interacts with) Cpsf4","ENSMUSG00000024563","false","interacts with","Smad2 (interacts with) Cpsf4","0.0292782016104475"
"23630","54.87097571","interacts with","Ecd (interacts with) Psmc6","ENSMUSG00000021810","false","interacts with","Ecd (interacts with) Psmc6","0.0292755897396566"
"23632","21.29460606","interacts with","Suds3 (interacts with) Cops4","ENSMUSG00000066900","false","interacts with","Suds3 (interacts with) Cops4","0.0292637361392328"
"23640","20.50138251","interacts with","Csde1 (interacts with) Ddx1","ENSMUSG00000068823","false","interacts with","Csde1 (interacts with) Ddx1","0.0292494595103383"
"23641","22.18736127","interacts with","Eed (interacts with) Ahcyl1","ENSMUSG00000030619","false","interacts with","Eed (interacts with) Ahcyl1","0.0292477431440556"
"23642","8.81389495","interacts with","Zfp982 (interacts with) Dnaja1","ENSMUSG00000078496","false","interacts with","Zfp982 (interacts with) Dnaja1","0.0292473635925756"
"23643","20.37729569","interacts with","Hat1 (interacts with) Phgdh","ENSMUSG00000027018","false","interacts with","Hat1 (interacts with) Phgdh","0.0292439411554964"
"23647","49.55508481","interacts with","Naa15 (interacts with) Seh1l","ENSMUSG00000063273","false","interacts with","Naa15 (interacts with) Seh1l","0.0292223516651945"
"23650","46.50507588","interacts with","Ddx1 (interacts with) Csnk1e","ENSMUSG00000037149","false","interacts with","Ddx1 (interacts with) Csnk1e","0.0292089869911716"
"23655","8.81389495","interacts with","Zfp982 (interacts with) Ahcyl1","ENSMUSG00000078496","false","interacts with","Zfp982 (interacts with) Ahcyl1","0.0292017036484383"
"23660","58.50293473","interacts with","Gpbp1 (interacts with) Nol8","ENSMUSG00000032745","false","interacts with","Gpbp1 (interacts with) Nol8","0.0291917303604639"
"23661","15.24596153","interacts with","Kdm5c (interacts with) Get4","ENSMUSG00000025332","false","interacts with","Kdm5c (interacts with) Get4","0.0291862523383247"
"23662","12.28559718","interacts with","Brwd1 (interacts with) Morf4l2","ENSMUSG00000022914","false","interacts with","Brwd1 (interacts with) Morf4l2","0.0291862464071245"
"23665","21.66323828","interacts with","Hells (interacts with) Arhgef12","ENSMUSG00000025001","false","interacts with","Hells (interacts with) Arhgef12","0.0291698560385631"
"23666","22.02570797","interacts with","Hells (interacts with) Phgdh","ENSMUSG00000025001","false","interacts with","Hells (interacts with) Phgdh","0.0291643064780511"
"23668","13.36129912","interacts with","Ruvbl2 (interacts with) Fbxo38","ENSMUSG00000003868","false","interacts with","Ruvbl2 (interacts with) Fbxo38","0.0291580109280967"
"23672","22.05446608","interacts with","Smad2 (interacts with) Ccdc43","ENSMUSG00000024563","false","interacts with","Smad2 (interacts with) Ccdc43","0.02915496258766"
"23673","39.19156957","interacts with","Zzz3 (interacts with) Cdc23","ENSMUSG00000039068","false","interacts with","Zzz3 (interacts with) Cdc23","0.0291527646819137"
"23674","37.17101794","interacts with","Naa15 (interacts with) Twf1","ENSMUSG00000063273","false","interacts with","Naa15 (interacts with) Twf1","0.0291508873064134"
"23675","8.81389495","interacts with","Zfp982 (interacts with) Pacsin2","ENSMUSG00000078496","false","interacts with","Zfp982 (interacts with) Pacsin2","0.0291487637802174"
"23676","24.77425305","interacts with","Ice1 (interacts with) Get4","ENSMUSG00000034525","false","interacts with","Ice1 (interacts with) Get4","0.0291434520276134"
"23682","40.12222149","interacts with","Atf7ip (interacts with) Ube3a","ENSMUSG00000030213","false","interacts with","Atf7ip (interacts with) Ube3a","0.0291289812244672"
"23684","64.12664094","interacts with","Ubtf (interacts with) Jade3","ENSMUSG00000020923","false","interacts with","Ubtf (interacts with) Jade3","0.0291268645698598"
"23686","18.96342375","interacts with","Irx4 (interacts with) Smc6","ENSMUSG00000021604","false","interacts with","Irx4 (interacts with) Smc6","0.0291191700505511"
"23688","25.46220446","interacts with","Ice1 (interacts with) Snx17","ENSMUSG00000034525","false","interacts with","Ice1 (interacts with) Snx17","0.0291004866335516"
"23689","26.58881521","interacts with","Ddx1 (interacts with) Nudcd3","ENSMUSG00000037149","false","interacts with","Ddx1 (interacts with) Nudcd3","0.029094471141557"
"23691","42.04131898","interacts with","Ruvbl2 (interacts with) Gar1","ENSMUSG00000003868","false","interacts with","Ruvbl2 (interacts with) Gar1","0.0290793679773517"
"23692","29.57388969","interacts with","Hnrnpd (interacts with) Ahcyl1","ENSMUSG00000000568","false","interacts with","Hnrnpd (interacts with) Ahcyl1","0.029077054809647"
"23693","28.51772106","interacts with","Hells (interacts with) Caprin1","ENSMUSG00000025001","false","interacts with","Hells (interacts with) Caprin1","0.0290749751119838"
"23694","54.64291023","interacts with","Csde1 (interacts with) Cul4b","ENSMUSG00000068823","false","interacts with","Csde1 (interacts with) Cul4b","0.0290687836558232"
"23695","13.03340634","interacts with","Zfp982 (interacts with) Cstf1","ENSMUSG00000078496","false","interacts with","Zfp982 (interacts with) Cstf1","0.0290679850082422"
"23698","42.66280411","interacts with","Zzz3 (interacts with) Ckap5","ENSMUSG00000039068","false","interacts with","Zzz3 (interacts with) Ckap5","0.0290585615300894"
"23700","78.23978337","interacts with","Suds3 (interacts with) Ruvbl2","ENSMUSG00000066900","false","interacts with","Suds3 (interacts with) Ruvbl2","0.0290580842706201"
"23701","48.00389819","interacts with","Setd2 (interacts with) Vkorc1l1","ENSMUSG00000044791","false","interacts with","Setd2 (interacts with) Vkorc1l1","0.0290554180480508"
"23702","22.81307389","interacts with","Hells (interacts with) Nudt3","ENSMUSG00000025001","false","interacts with","Hells (interacts with) Nudt3","0.0290518685838089"
"23709","17.88122211","interacts with","Ahctf1 (interacts with) Hnrnpa1","ENSMUSG00000026491","false","interacts with","Ahctf1 (interacts with) Hnrnpa1","0.0290229866707449"
"23712","18.43980757","interacts with","Ruvbl2 (interacts with) Csde1","ENSMUSG00000003868","false","interacts with","Ruvbl2 (interacts with) Csde1","0.0290202302362343"
"23716","45.61023592","interacts with","Naa15 (interacts with) Sf1","ENSMUSG00000063273","false","interacts with","Naa15 (interacts with) Sf1","0.0290057757862034"
"23719","43.40521815","interacts with","Gpbp1l1 (interacts with) Nudcd1","ENSMUSG00000034042","false","interacts with","Gpbp1l1 (interacts with) Nudcd1","0.0289925154555556"
"23720","27.09247634","interacts with","Csde1 (interacts with) Rps6ka1","ENSMUSG00000068823","false","interacts with","Csde1 (interacts with) Rps6ka1","0.0289908000443684"
"23722","17.84262253","interacts with","Taf7 (interacts with) Rps6ka1","ENSMUSG00000051316","false","interacts with","Taf7 (interacts with) Rps6ka1","0.0289842924731441"
"23723","33.47333805","interacts with","Eed (interacts with) Psmc6","ENSMUSG00000030619","false","interacts with","Eed (interacts with) Psmc6","0.0289730721241188"
